fabricante,categoria,segmento,produto,id_produto,id_fabricante
VanArsdel,Urban,Convenience,Maximus UC-01,536,7
VanArsdel,Urban,Convenience,Maximus UC-02,537,7
VanArsdel,Urban,Convenience,Maximus UC-03,538,7
VanArsdel,Urban,Convenience,Maximus UC-04,539,7
VanArsdel,Urban,Convenience,Maximus UC-05,540,7
VanArsdel,Urban,Convenience,Maximus UC-06,541,7
VanArsdel,Urban,Convenience,Maximus UC-07,542,7
VanArsdel,Urban,Convenience,Maximus UC-08,543,7
VanArsdel,Urban,Convenience,Maximus UC-09,544,7
VanArsdel,Urban,Convenience,Maximus UC-10,545,7
VanArsdel,Urban,Convenience,Maximus UC-11,546,7
VanArsdel,Urban,Convenience,Maximus UC-12,547,7
VanArsdel,Urban,Convenience,Maximus UC-13,548,7
VanArsdel,Urban,Convenience,Maximus UC-14,549,7
VanArsdel,Urban,Convenience,Maximus UC-15,550,7
VanArsdel,Urban,Convenience,Maximus UC-16,551,7
VanArsdel,Urban,Convenience,Maximus UC-17,552,7
VanArsdel,Urban,Convenience,Maximus UC-18,553,7
VanArsdel,Urban,Convenience,Maximus UC-19,554,7
VanArsdel,Urban,Convenience,Maximus UC-20,555,7
VanArsdel,Urban,Convenience,Maximus UC-21,556,7
VanArsdel,Urban,Convenience,Maximus UC-22,557,7
VanArsdel,Urban,Convenience,Maximus UC-23,558,7
VanArsdel,Urban,Convenience,Maximus UC-24,559,7
VanArsdel,Urban,Convenience,Maximus UC-25,560,7
VanArsdel,Urban,Convenience,Maximus UC-26,561,7
VanArsdel,Urban,Convenience,Maximus UC-27,562,7
VanArsdel,Urban,Convenience,Maximus UC-28,563,7
VanArsdel,Urban,Convenience,Maximus UC-29,564,7
VanArsdel,Urban,Convenience,Maximus UC-30,565,7
VanArsdel,Urban,Convenience,Maximus UC-31,566,7
VanArsdel,Urban,Convenience,Maximus UC-32,567,7
VanArsdel,Urban,Convenience,Maximus UC-33,568,7
VanArsdel,Urban,Convenience,Maximus UC-34,569,7
VanArsdel,Urban,Convenience,Maximus UC-35,570,7
VanArsdel,Urban,Convenience,Maximus UC-36,571,7
VanArsdel,Urban,Convenience,Maximus UC-37,572,7
VanArsdel,Urban,Convenience,Maximus UC-38,573,7
VanArsdel,Urban,Convenience,Maximus UC-39,574,7
VanArsdel,Urban,Convenience,Maximus UC-40,575,7
VanArsdel,Urban,Convenience,Maximus UC-41,576,7
VanArsdel,Urban,Convenience,Maximus UC-42,577,7
VanArsdel,Urban,Convenience,Maximus UC-43,578,7
VanArsdel,Urban,Convenience,Maximus UC-44,579,7
VanArsdel,Urban,Convenience,Maximus UC-45,580,7
VanArsdel,Urban,Convenience,Maximus UC-46,581,7
VanArsdel,Urban,Convenience,Maximus UC-47,582,7
VanArsdel,Urban,Convenience,Maximus UC-48,583,7
VanArsdel,Urban,Convenience,Maximus UC-49,584,7
VanArsdel,Urban,Convenience,Maximus UC-50,585,7
VanArsdel,Urban,Convenience,Maximus UC-51,586,7
VanArsdel,Urban,Convenience,Maximus UC-52,587,7
VanArsdel,Urban,Convenience,Maximus UC-53,588,7
VanArsdel,Urban,Convenience,Maximus UC-54,589,7
VanArsdel,Urban,Convenience,Maximus UC-55,590,7
VanArsdel,Urban,Convenience,Maximus UC-56,591,7
VanArsdel,Urban,Convenience,Maximus UC-57,592,7
VanArsdel,Urban,Convenience,Maximus UC-58,593,7
VanArsdel,Urban,Convenience,Maximus UC-59,594,7
VanArsdel,Urban,Convenience,Maximus UC-60,595,7
VanArsdel,Urban,Convenience,Maximus UC-61,596,7
VanArsdel,Urban,Convenience,Maximus UC-62,597,7
VanArsdel,Urban,Convenience,Maximus UC-63,598,7
VanArsdel,Urban,Convenience,Maximus UC-64,599,7
VanArsdel,Urban,Convenience,Maximus UC-65,600,7
VanArsdel,Urban,Convenience,Maximus UC-66,601,7
VanArsdel,Urban,Convenience,Maximus UC-67,602,7
VanArsdel,Urban,Convenience,Maximus UC-68,603,7
VanArsdel,Urban,Convenience,Maximus UC-69,604,7
